brand,name,type,country,ingredients,afterUse,price,url,match_score,matched_name
"","Erno Laszlo Phelityl Night Cream 50ml","Moisturiser","","[]","[]","£135.00","https://www.lookfantastic.com/erno-laszlo-phelityl-night-cream-various-sizes/12204396.html","60","UNMATCHED"
"hyggee","All-In-One Mist","Toner","South Korea","[""Water"",""Betula Platyphylla Japonica Juice"",""Dipropylene Glycol"",""Methylpropanediol"",""Niacinamide"",""Pentylene Glycol"",""Propanediol"",""Glycerin"",""Pyrus Malus Fruit Water"",""Citrus Aurantium Bergamia Fruit Oil"",""Portulaca Oleracea Extract"",""Xylitol"",""Lactobacillus Ferment"",""Lactococcus Ferment Lysate"",""Bifida Ferment Lysate"",""Cinnamomum Cassia Bark"",""Gynostemma Pentaphyllum Leaf/Stem Extract"",""Streptococcus Thermophilus Ferment"",""Betaine"",""1"",""2-Hexanediol"",""Panthenol"",""Butylene Glycol"",""Polyglyceryl-10 Laurate"",""Polyglyceryl-10 Myristate"",""Adenosine"",""Glyceryl Caprylate"",""Tromethamine"",""Hydrolyzed Hyaluronic Acid"",""Butyl Avocadate"",""Ethylhexyl Palmitate"",""Hexylene Glycol"",""Xylitylglucoside"",""Anhydroxylitol"",""Sodium Hyaluronate"",""Polyglutamic Acid"",""Capryloyl Glycine"",""Caprylic/Capric Triglyceride"",""Phospholipids"",""Silica Dimethyl Silylate"",""Ceramide NP"",""Sarcosine"",""Caprylyl Glycol"",""Cholesterol"",""Ethylhexylglycerin"",""Arginine"",""Propyl Gallate"",""Carbomer"",""Disodium EDTA"",""Phenoxyethanol"",""Phytosterols""]","[""Hydrating"",""Good For Oily Skin"",""Redness Reducing"",""Reduces Irritation"",""Anti-Aging"",""Acne Fighting"",""Brightening"",""Acne Trigger""]","£12.50","https://www.lookfantastic.com/a-kin-hydrating-mist-toner-150ml/11421494.html","70","hyggee All-In-One Mist"
"","A'kin Rose Mist Toner 150ml","Toner","","[]","[]","£12.50","https://www.lookfantastic.com/a-kin-rose-mist-toner-150ml/12026926.html","65","UNMATCHED"
"","Acorelle Pure Harvest Body Perfume - 100ml","Mist","","[]","[]","£10.00","https://www.lookfantastic.com/acorelle-pure-harvest-body-perfume-100ml/11577065.html","59","UNMATCHED"
"","Aesop Amazing Face Cleanser 200ml","Cleanser","","[]","[]","£35.00","https://www.lookfantastic.com/aesop-amazing-face-cleanser-200ml/10366097.html","64","UNMATCHED"
"","Aesop Animal Body Wash 500ml","Body Wash","","[]","[]","£27.00","https://www.lookfantastic.com/aesop-animal-body-wash-500ml/12044867.html","59","UNMATCHED"
"","Aesop Chamomile Concentrate Anti-Blemish Mask 60ml","Mask","","[]","[]","£31.00","https://www.lookfantastic.com/aesop-chamomile-concentrate-anti-blemish-mask-60ml/10366573.html","56","UNMATCHED"
"","Aesop Parsley Seed Anti-Oxidant Eye Cream 10ml","Eye Care","","[]","[]","£63.00","https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-cream-10ml/10366954.html","64","UNMATCHED"
"","Aesop Parsley Seed Anti-Oxidant Eye Serum 15ml","Eye Care","","[]","[]","£57.00","https://www.lookfantastic.com/aesop-parsley-seed-anti-oxidant-eye-serum-15ml/10363561.html","60","UNMATCHED"
"ahava","Purifying Mud Mask","Wet Mask","Israel","[""Water"",""Kaolin"",""Silt"",""Propanediol"",""Glyceryl Stearate"",""Ethylhexyl Palmitate"",""Sodium Trideceth Sulfate"",""Glycerin"",""Simmondsia Chinensis Seed Oil"",""Zinc Oxide"",""Sodium Lauroamphoacetate"",""Cetearyl Alcohol"",""Phenoxyethanol"",""Propylene Glycol"",""Sodium Lactate"",""Stearyl Alcohol"",""Cocamide Mea"",""Ceteareth-30"",""Peg-40 Stearate"",""Hydroxyethylcellulose"",""Lactic Acid"",""Caprylyl Glycol"",""Chlorphenesin"",""Dimethicone"",""Sorbitan Tristearate"",""Xanthan Gum"",""Sodium Chloride"",""Sodium Benzoate"",""Ascorbyl Palmitate"",""Glycine Soja Oil"",""Lecithin"",""Hydrogenated Vegetable Glycerides Citrate"",""Beta-Sitosterol"",""Squalene"",""Potassium Sorbate"",""Citric Acid"",""Helianthus Annuus Seed Oil"",""Tocopherol"",""Chamomilla Recutita Flower Extract"",""Allantoin"",""Aloe Barbadensis Leaf Extract"",""Panthenol"",""Maris Sal"",""Dunaliella Salina Extract"",""Phoenix Dactylifera Fruit Extract"",""Maris Aqua""]","[""Hydrating"",""Redness Reducing"",""Reduces Irritation"",""Skin Texture"",""Reduces Large Pores"",""Anti-Aging"",""Dark Spots"",""Scar Healing"",""Brightening"",""Drying"",""Acne Trigger"",""Irritating"",""Rosacea"",""Eczema""]","£28.99","https://www.lookfantastic.com/ahava-purifying-mud-mask-100ml/11286067.html","75","ahava Purifying Mud Mask"
"","AHAVA Single Use 24K Gold Mineral Mud Mask 6ml","Mask","","[]","[]","£2.36","https://www.lookfantastic.com/ahava-single-use-24k-gold-mineral-mud-mask-6ml/12054138.html","55","UNMATCHED"
"","AHAVA Single Use Brightening & Hydration Mask 6ml","Mask","","[]","[]","£2.36","https://www.lookfantastic.com/ahava-single-use-brightening-hydration-mask-6ml/12054114.html","65","UNMATCHED"
"the body shop","Tea Tree Skin Clearing Clay Mask","Wet Mask","United Kingdom","[""Water"",""Kaolin"",""Cetearyl Alcohol"",""Glycerin"",""Myristyl Myristate"",""Glyceryl Stearate"",""Peg-100 Stearate"",""Ethylhexyl Palmitate"",""Propanediol"",""Alcohol Denat."",""Caprylyl Glycol"",""Cyclopentasiloxane"",""Calophyllum Inophyllum Seed Oil"",""Melaleuca Alternifolia Leaf Oil"",""Cyclohexasiloxane"",""Xanthan Gum"",""Disodium EDTA"",""Menthol"",""Limonene"",""Leptospermum Petersonii Oil"",""T-Butyl Alcohol"",""Denatonium Benzoate"",""Tocopherol"",""Ci 77289"",""Ci 77492""]","[""Good For Oily Skin"",""Brightening"",""Acne Trigger"",""Rosacea""]","£2.36","https://www.lookfantastic.com/ahava-single-use-clearing-mask-6ml/12054113.html","70","the body shop Tea Tree Skin Clearing Clay Mask"
"","AHAVA Single Use Facial Renewal Peel 8ml","Peel","","[]","[]","£2.36","https://www.lookfantastic.com/ahava-single-use-facial-renewal-peel-8ml/12054130.html","58","UNMATCHED"
"","AHAVA Single Use Hydration Cream Mask 8ml","Mask","","[]","[]","£2.36","https://www.lookfantastic.com/ahava-single-use-hydration-cream-mask-8ml/12054132.html","68","UNMATCHED"
"","AHAVA Single Use Mud Mask 8ml","Mask","","[]","[]","£2.36","https://www.lookfantastic.com/ahava-single-use-mud-mask-8ml/12054135.html","59","UNMATCHED"
"","AHAVA Single Use Overnight Deep Wrinkle Mask 6ml","Mask","","[]","[]","£2.36","https://www.lookfantastic.com/ahava-single-use-overnight-deep-wrinkle-mask-6ml/12054131.html","64","UNMATCHED"
"","AHAVA Uplifting & Firming Sheet Mask","Mask","","[]","[]","£6.30","https://www.lookfantastic.com/ahava-uplifting-firming-sheet-mask/11813087.html","66","UNMATCHED"
"","Alchimie Forever Dry Skin Balm","Balm","","[]","[]","£17.85","https://www.lookfantastic.com/alchimie-forever-dry-skin-balm/11286079.html","65","UNMATCHED"
"","Alpha-H Beauty Sleep Power Peel 50ml","Peel","","[]","[]","£43.20","https://www.lookfantastic.com/alpha-h-beauty-sleep-power-peel-50ml/11282237.html","60","UNMATCHED"
"desert essence","Daily Essential Moisturizer","Day Moisturizer","United States","[""Water"",""Aloe Barbadensis Leaf Juice"",""Glyceryl Stearate"",""Stearic Acid"",""Cetyl Palmitate"",""Simmondsia Chinensis Seed Oil"",""Carthamus Tinctorius Seed Oil"",""Cetyl Alcohol"",""Propanediol"",""Sesamum Indicum Seed Oil"",""Glycerin"",""Gluconolactone"",""Sodium Hydroxide"",""Sodium Benzoate"",""Geranium Maculatum Oil""]","[""May Worsen Oily Skin""]","£29.00","https://www.lookfantastic.com/alpha-h-daily-essential-moisturiser-spf50-50ml/10243492.html","71","desert essence Daily Essential Moisturizer"
"","Ambre Solaire After Sun Cooling Hyaluronic Acid Face Sheet Mask 32g","Mask","","[]","[]","£2.50","https://www.lookfantastic.com/ambre-solaire-after-sun-cooling-hyaluronic-acid-face-sheet-mask-32g/11771605.html","66","UNMATCHED"
"josie maran","Pure Argan Milk™ Intensive Hydrating Treatment","Serum","United States","[""Water"",""Argania Spinosa Kernel Oil"",""Propanediol"",""Glyceryl Caprylate"",""Glyceryl Undecylenate"",""Phosphatidylglycerol"",""Sodium Benzoate"",""Xanthan Gum"",""Citric Acid""]","[""Reduces Large Pores"",""Drying"",""Irritating""]","£15.00","https://www.lookfantastic.com/ameliorate-intensive-lip-treatment-15ml/12006887.html","70","josie maran Pure Argan Milk™ Intensive Hydrating Treatment"
"","AMELIORATE Nourishing Body Wash 200ml","Body Wash","","[]","[]","£10.50","https://www.lookfantastic.com/ameliorate-nourishing-body-wash-200ml/11865356.html","62","UNMATCHED"
"","AMELIORATE Nourishing Body Wash 60ml","Body Wash","","[]","[]","£5.00","https://www.lookfantastic.com/ameliorate-nourishing-body-wash-60ml/11865365.html","63","UNMATCHED"
"","AMELIORATE Transforming Body Cream 225ml","Moisturiser","","[]","[]","£27.50","https://www.lookfantastic.com/ameliorate-transforming-body-cream-225ml/11865357.html","61","UNMATCHED"
"","AMELIORATE Transforming Body Lotion 200ml","Moisturiser","","[]","[]","£22.50","https://www.lookfantastic.com/ameliorate-transforming-body-lotion-200ml/11865352.html","62","UNMATCHED"
"ziaja","Manuka Honey Anti-Acne Face Mask","Wet Mask","Poland","[""Glycerin"",""Water"",""Sucrose"",""Xylitol"",""Polyglyceryl-2 Caprate"",""Saccharomyces/Zinc Ferment"",""Butylene Glycol"",""Honey Extract"",""Niacinamide"",""Calcium Pantothenate"",""Sodium Ascorbyl Phosphate"",""Tocopheryl Acetate"",""Pyridoxine Hcl"",""Maltodextrin"",""Sodium Starch Octenylsuccinate"",""Silica"",""Propylene Glycol"",""Leptospermum Scoparium Leaf Extract"",""Carbomer"",""Phenoxyethanol"",""Ethylhexylglycerin"",""Parfum"",""Sodium Hydroxide"",""Ci 47005"",""Ci 16035""]","[""Good For Oily Skin"",""Redness Reducing"",""Skin Texture"",""Anti-Aging"",""Dark Spots"",""Acne Fighting"",""Brightening"",""Eczema""]","£26.99","https://www.lookfantastic.com/antipodes-aura-manuka-honey-mask-75ml/10977971.html","72","ziaja Manuka Honey Anti-Acne Face Mask"
"antipodes","Avocado Pear Nourishing Night Cream","Night Moisturizer","Australia","[""Water"",""Squalane"",""Butyrospermum Parkii Butter"",""Glycerin"",""Leptospermum Scoparium Leaf Extract"",""Macadamia Ternifolia Seed Oil"",""Persea Gratissima Oil"",""Cetearyl Alcohol"",""Calendula Officinalis Flower Oil"",""Cocos Nucifera Oil"",""Lecithin"",""Tocopherol"",""Helianthus Annuus Seed Oil"",""Dehydroacetic Acid"",""Benzyl Alcohol"",""Bisabolol"",""Vitis Vinifera Seed Extract"",""Benzyl Benzoate"",""Benzyl Salicylate"",""Citral"",""Citronellol"",""Limonene"",""Eugenol"",""Farnesol"",""Geraniol"",""Isoeugenol"",""Linalool""]","[""Hydrating"",""Reduces Irritation"",""Anti-Aging"",""Scar Healing"",""Brightening"",""Acne Trigger"",""Irritating""]","£34.99","https://www.lookfantastic.com/antipodes-avocado-pear-nourishing-night-cream-60ml/10374561.html","82","antipodes Avocado Pear Nourishing Night Cream"
"","Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml","Moisturiser","","[]","[]","£25.58","https://www.lookfantastic.com/antipodes-baptise-h20-ultra-hydrating-water-gel-60ml/12432848.html","54","UNMATCHED"
"","Antipodes Hallelujah Lime & Patchouli Cleanser 200ml","Cleanser","","[]","[]","£22.99","https://www.lookfantastic.com/antipodes-hallelujah-lime-patchouli-cleanser-200ml/10366146.html","57","UNMATCHED"
"","Antipodes Halo Skin Brightening Facial Mud Mask 75g","Mask","","[]","[]","£26.99","https://www.lookfantastic.com/antipodes-halo-skin-brightening-facial-mud-mask-75g/11633027.html","63","UNMATCHED"
"","Antipodes Kiwi Seed Oil Eye Cream 30ml","Eye Care","","[]","[]","£27.99","https://www.lookfantastic.com/antipodes-kiwi-seed-oil-eye-cream-30ml/10977981.html","63","UNMATCHED"
